advertiser,election,topic,spend_week,spend_month,spend
SIGMA FORWARD FUND,REGION-1-GOV,Education,2024_09/17-09/23,2024_09,141.1173
BETA ACTION PAC,NATIONAL-PRES,Climate & Energy,2024_11/05-11/11,2024_11,88.9709
RHO VOTERS PAC,REGION-3-HSE,Economy & Labor,2024_11/12-11/18,2024_11,178.3509
MU ACTION PAC,NATIONAL-PRES,Climate & Energy,2024_10/29-11/04,2024_11,
BETA ACTION PAC,NATIONAL-PRES,Education,2024_09/24-09/30,2024_09,1081.4959
MU ACTION PAC,REGION-2-SEN,Economy & Labor,2024_11/12-11/18,2024_11,61882.0904
LAMBDA POLICY FUND,REGION-2-SEN,Criminal Justice,2024_10/22-10/28,2024_10,70998.2232
ZETA FORWARD FUND,REGION-4-GOV,Climate & Energy,2024_09/10-09/16,2024_09,71.1995
PI ACTION GROUP,REGION-4-GOV,Climate & Energy,2024_10/01-10/06,2024_10,11679.3956
OMICRON FUND,REGION-1-GOV,Education,2024_09/17-09/23,2024_09,377.3439
OMICRON FUND,NATIONAL-PRES,Abortion,2024_10/29-11/04,2024_11,77.3596
MU ACTION PAC,NATIONAL-PRES,Abortion,2024_10/01-10/06,2024_10,240.7288
RHO VOTERS PAC,REGION-3-HSE,Economy & Labor,2024_10/22-10/28,2024_10,5505.4161
ALPHA COMMITTEE,REGION-3-HSE,Gun Policy,2024_10/15-10/21,2024_10,786.8358
NU COALITION,REGION-4-GOV,Criminal Justice,2024_10/29-11/04,2024_11,24953.4385
GAMMA VOTERS FUND,NATIONAL-PRES,Economy & Labor,2024_09/24-09/30,2024_09,
BETA ACTION PAC,REGION-1-GOV,Education,2024_11/05-11/11,2024_11,2678.0686
MU ACTION PAC,REGION-4-GOV,Education,2024_10/29-11/04,2024_11,6511.165
EPSILON GROUP PAC,NATIONAL-PRES,Immigration,2024_09/03-09/09,2024_09,186.2407
XI PROGRESS COMMITTEE,REGION-1-GOV,Education,2024_10/01-10/06,2024_10,695.5768
ETA PROGRESS PAC,REGION-1-GOV,Economy & Labor,2024_10/29-11/04,2024_11,2.5
NU COALITION,REGION-2-SEN,Healthcare,2024_10/01-10/06,2024_10,
ALPHA COMMITTEE,REGION-2-SEN,Healthcare,2024_09/10-09/16,2024_09,11.8615
KAPPA FORWARD GROUP,REGION-1-GOV,Immigration,2024_09/03-09/09,2024_09,18405.6901
ZETA FORWARD FUND,REGION-2-SEN,Criminal Justice,2024_11/05-11/11,2024_11,3619.0732
SIGMA FORWARD FUND,REGION-3-HSE,Criminal Justice,2024_09/10-09/16,2024_09,250000
DELTA COALITION,NATIONAL-PRES,Criminal Justice,2024_11/05-11/11,2024_11,230.3272
ETA PROGRESS PAC,REGION-1-GOV,Economy & Labor,2024_09/03-09/09,2024_09,11599.5889
ETA PROGRESS PAC,NATIONAL-PRES,Climate & Energy,2024_10/01-10/06,2024_10,9774.1359
MU ACTION PAC,REGION-3-HSE,Criminal Justice,2024_09/17-09/23,2024_09,209025.9084
NU COALITION,REGION-3-HSE,Education,2024_11/05-11/11,2024_11,59.0251
TAU COMMITTEE,REGION-2-SEN,Immigration,2024_10/15-10/21,2024_10,2123.4237
OMICRON FUND,NATIONAL-PRES,Gun Policy,2024_09/03-09/09,2024_09,2623.5976
BETA ACTION PAC,REGION-3-HSE,Economy & Labor,2024_11/12-11/18,2024_11,7006.8217
ZETA FORWARD FUND,REGION-2-SEN,Climate & Energy,2024_10/01-10/06,2024_10,
NU COALITION,NATIONAL-PRES,Abortion,2024_11/05-11/11,2024_11,
GAMMA VOTERS FUND,REGION-1-GOV,Gun Policy,2024_11/05-11/11,2024_11,2.5
THETA ACTION COMMITTEE,REGION-2-SEN,Immigration,2024_10/22-10/28,2024_10,1973.0035
NU COALITION,REGION-3-HSE,Healthcare,2024_10/29-11/04,2024_11,250000
THETA ACTION COMMITTEE,REGION-3-HSE,Economy & Labor,2024_09/03-09/09,2024_09,96.4326
XI PROGRESS COMMITTEE,NATIONAL-PRES,Gun Policy,2024_10/07-10/13,2024_10,19.2392
THETA ACTION COMMITTEE,REGION-1-GOV,Criminal Justice,2024_09/17-09/23,2024_09,2079.966
SIGMA FORWARD FUND,REGION-4-GOV,Climate & Energy,2024_11/05-11/11,2024_11,
IOTA CITIZENS PAC,REGION-3-HSE,Climate & Energy,2024_10/01-10/06,2024_10,
BETA ACTION PAC,NATIONAL-PRES,Criminal Justice,2024_10/07-10/13,2024_10,250000
XI PROGRESS COMMITTEE,REGION-2-SEN,Education,2024_09/24-09/30,2024_09,3969.1613
BETA ACTION PAC,NATIONAL-PRES,Criminal Justice,2024_10/07-10/13,2024_10,354.0679
MU ACTION PAC,REGION-1-GOV,Climate & Energy,2024_10/07-10/13,2024_10,
OMICRON FUND,REGION-4-GOV,Gun Policy,2024_10/01-10/06,2024_10,250000
NU COALITION,REGION-2-SEN,Climate & Energy,2024_09/03-09/09,2024_09,777.4146
OMICRON FUND,REGION-2-SEN,Education,2024_10/15-10/21,2024_10,40126.9482
THETA ACTION COMMITTEE,NATIONAL-PRES,Immigration,2024_09/17-09/23,2024_09,1426.4764
ZETA FORWARD FUND,REGION-3-HSE,Climate & Energy,2024_10/22-10/28,2024_10,14404.1898
OMICRON FUND,REGION-1-GOV,Education,2024_09/24-09/30,2024_09,
ZETA FORWARD FUND,NATIONAL-PRES,Immigration,2024_11/12-11/18,2024_11,18971.8953
THETA ACTION COMMITTEE,NATIONAL-PRES,Criminal Justice,2024_09/24-09/30,2024_09,6.9372
LAMBDA POLICY FUND,REGION-4-GOV,Abortion,2024_11/12-11/18,2024_11,14.819
ZETA FORWARD FUND,REGION-1-GOV,Healthcare,2024_09/24-09/30,2024_09,754.4728
LAMBDA POLICY FUND,REGION-4-GOV,Education,2024_11/05-11/11,2024_11,124.6804
THETA ACTION COMMITTEE,REGION-4-GOV,Education,2024_11/12-11/18,2024_11,34.2871
ETA PROGRESS PAC,REGION-1-GOV,Abortion,2024_09/03-09/09,2024_09,8.0066
ALPHA COMMITTEE,NATIONAL-PRES,Economy & Labor,2024_11/05-11/11,2024_11,67359.7643
PI ACTION GROUP,REGION-4-GOV,Healthcare,2024_10/15-10/21,2024_10,59227.9235
ALPHA COMMITTEE,REGION-1-GOV,Climate & Energy,2024_09/17-09/23,2024_09,2.5
ZETA FORWARD FUND,NATIONAL-PRES,Gun Policy,2024_11/12-11/18,2024_11,689.4776
KAPPA FORWARD GROUP,REGION-2-SEN,Economy & Labor,2024_09/17-09/23,2024_09,12901.781
UPSILON ACTION PAC,REGION-3-HSE,Economy & Labor,2024_09/10-09/16,2024_09,941.4614
ALPHA COMMITTEE,REGION-2-SEN,Economy & Labor,2024_09/24-09/30,2024_09,45356.8436
IOTA CITIZENS PAC,REGION-4-GOV,Climate & Energy,2024_10/29-11/04,2024_11,37113.1285
XI PROGRESS COMMITTEE,REGION-4-GOV,Climate & Energy,2024_10/29-11/04,2024_11,3679.5456
UPSILON ACTION PAC,REGION-2-SEN,Immigration,2024_10/01-10/06,2024_10,9569.7887
DELTA COALITION,REGION-3-HSE,Healthcare,2024_09/03-09/09,2024_09,1825.0794
DELTA COALITION,REGION-2-SEN,Education,2024_11/12-11/18,2024_11,11815.0552
EPSILON GROUP PAC,REGION-3-HSE,Gun Policy,2024_11/05-11/11,2024_11,137.4128
RHO VOTERS PAC,REGION-2-SEN,Economy & Labor,2024_09/24-09/30,2024_09,3568.3375
RHO VOTERS PAC,REGION-2-SEN,Criminal Justice,2024_10/15-10/21,2024_10,5.5289
RHO VOTERS PAC,REGION-1-GOV,Immigration,2024_10/15-10/21,2024_10,5376.7873
ALPHA COMMITTEE,REGION-1-GOV,Education,2024_09/03-09/09,2024_09,2853.0054
ETA PROGRESS PAC,REGION-4-GOV,Economy & Labor,2024_11/12-11/18,2024_11,
MU ACTION PAC,REGION-3-HSE,Economy & Labor,2024_10/15-10/21,2024_10,
OMICRON FUND,REGION-4-GOV,Abortion,2024_10/22-10/28,2024_10,101.2882
GAMMA VOTERS FUND,REGION-2-SEN,Criminal Justice,2024_09/17-09/23,2024_09,6726.3679
GAMMA VOTERS FUND,NATIONAL-PRES,Criminal Justice,2024_09/10-09/16,2024_09,36.2848
OMICRON FUND,REGION-2-SEN,Gun Policy,2024_10/29-11/04,2024_11,447.5135
ALPHA COMMITTEE,REGION-3-HSE,Climate & Energy,2024_09/03-09/09,2024_09,119.6366
IOTA CITIZENS PAC,REGION-3-HSE,Gun Policy,2024_09/10-09/16,2024_09,
EPSILON GROUP PAC,NATIONAL-PRES,Criminal Justice,2024_11/12-11/18,2024_11,478.7273
UPSILON ACTION PAC,REGION-3-HSE,Abortion,2024_10/22-10/28,2024_10,4255.2803
ZETA FORWARD FUND,REGION-3-HSE,Healthcare,2024_10/15-10/21,2024_10,9440.4523
EPSILON GROUP PAC,REGION-3-HSE,Gun Policy,2024_10/07-10/13,2024_10,1703.3257
ZETA FORWARD FUND,REGION-3-HSE,Criminal Justice,2024_10/15-10/21,2024_10,10690.1316
RHO VOTERS PAC,REGION-2-SEN,Healthcare,2024_10/15-10/21,2024_10,105.2697
GAMMA VOTERS FUND,REGION-3-HSE,Healthcare,2024_10/29-11/04,2024_11,2.5
IOTA CITIZENS PAC,REGION-1-GOV,Gun Policy,2024_09/03-09/09,2024_09,7343.5578
ALPHA COMMITTEE,REGION-3-HSE,Healthcare,2024_10/29-11/04,2024_11,4729.0758
EPSILON GROUP PAC,REGION-4-GOV,Gun Policy,2024_09/24-09/30,2024_09,4001.2867
LAMBDA POLICY FUND,REGION-3-HSE,Education,2024_10/22-10/28,2024_10,26.6266
RHO VOTERS PAC,REGION-3-HSE,Criminal Justice,2024_10/15-10/21,2024_10,198.609
BETA ACTION PAC,REGION-1-GOV,Abortion,2024_10/07-10/13,2024_10,4448.7078
BETA ACTION PAC,REGION-1-GOV,Abortion,2024_11/12-11/18,2024_11,1506.043
ETA PROGRESS PAC,REGION-3-HSE,Abortion,2024_10/29-11/04,2024_11,4806.5679
PI ACTION GROUP,REGION-1-GOV,Abortion,2024_11/12-11/18,2024_11,971.1582
MU ACTION PAC,REGION-4-GOV,Gun Policy,2024_10/29-11/04,2024_11,
BETA ACTION PAC,REGION-2-SEN,Gun Policy,2024_09/03-09/09,2024_09,726.4056
RHO VOTERS PAC,NATIONAL-PRES,Gun Policy,2024_10/15-10/21,2024_10,68.5977
SIGMA FORWARD FUND,REGION-3-HSE,Climate & Energy,2024_11/12-11/18,2024_11,449.5451
SIGMA FORWARD FUND,REGION-1-GOV,Healthcare,2024_11/05-11/11,2024_11,38.8672
GAMMA VOTERS FUND,REGION-3-HSE,Criminal Justice,2024_11/12-11/18,2024_11,99581.5476
XI PROGRESS COMMITTEE,REGION-3-HSE,Abortion,2024_10/22-10/28,2024_10,213.3345
ALPHA COMMITTEE,REGION-2-SEN,Climate & Energy,2024_10/22-10/28,2024_10,68575.1782
THETA ACTION COMMITTEE,REGION-3-HSE,Abortion,2024_10/15-10/21,2024_10,12798.6157
THETA ACTION COMMITTEE,REGION-1-GOV,Abortion,2024_11/05-11/11,2024_11,751.1579
DELTA COALITION,NATIONAL-PRES,Economy & Labor,2024_10/07-10/13,2024_10,2469.1131
NU COALITION,NATIONAL-PRES,Gun Policy,2024_10/07-10/13,2024_10,35186.7829
BETA ACTION PAC,NATIONAL-PRES,Economy & Labor,2024_09/24-09/30,2024_09,3691.5134
KAPPA FORWARD GROUP,REGION-2-SEN,Economy & Labor,2024_11/12-11/18,2024_11,552.7327
PI ACTION GROUP,REGION-3-HSE,Economy & Labor,2024_11/12-11/18,2024_11,14.2117
IOTA CITIZENS PAC,REGION-2-SEN,Healthcare,2024_09/24-09/30,2024_09,204.1855
NU COALITION,NATIONAL-PRES,Abortion,2024_09/03-09/09,2024_09,934.6248
BETA ACTION PAC,NATIONAL-PRES,Abortion,2024_11/05-11/11,2024_11,4.5549
THETA ACTION COMMITTEE,REGION-1-GOV,Climate & Energy,2024_10/01-10/06,2024_10,250000
SIGMA FORWARD FUND,REGION-2-SEN,Gun Policy,2024_11/05-11/11,2024_11,80913.0879
IOTA CITIZENS PAC,REGION-1-GOV,Immigration,2024_10/07-10/13,2024_10,85.3594
BETA ACTION PAC,REGION-2-SEN,Gun Policy,2024_09/10-09/16,2024_09,28.8969
IOTA CITIZENS PAC,REGION-4-GOV,Education,2024_10/29-11/04,2024_11,3726.3761
GAMMA VOTERS FUND,REGION-4-GOV,Healthcare,2024_10/01-10/06,2024_10,50982.1302
GAMMA VOTERS FUND,REGION-2-SEN,Gun Policy,2024_10/07-10/13,2024_10,130.1902
OMICRON FUND,REGION-1-GOV,Healthcare,2024_09/03-09/09,2024_09,
ETA PROGRESS PAC,REGION-3-HSE,Education,2024_10/07-10/13,2024_10,58497.7007
XI PROGRESS COMMITTEE,REGION-2-SEN,Gun Policy,2024_10/15-10/21,2024_10,91.5541
IOTA CITIZENS PAC,REGION-2-SEN,Abortion,2024_11/12-11/18,2024_11,49.8608
UPSILON ACTION PAC,REGION-2-SEN,Immigration,2024_11/12-11/18,2024_11,24090.416
RHO VOTERS PAC,NATIONAL-PRES,Immigration,2024_11/05-11/11,2024_11,3958.9166
NU COALITION,REGION-3-HSE,Economy & Labor,2024_10/01-10/06,2024_10,100.3007
ETA PROGRESS PAC,REGION-1-GOV,Healthcare,2024_10/29-11/04,2024_11,1681.492
ETA PROGRESS PAC,REGION-1-GOV,Climate & Energy,2024_09/10-09/16,2024_09,10640.3098
MU ACTION PAC,REGION-1-GOV,Abortion,2024_09/24-09/30,2024_09,9.8973
IOTA CITIZENS PAC,REGION-1-GOV,Abortion,2024_11/05-11/11,2024_11,2814.9096
UPSILON ACTION PAC,REGION-2-SEN,Gun Policy,2024_10/29-11/04,2024_11,306.5678
EPSILON GROUP PAC,NATIONAL-PRES,Climate & Energy,2024_10/01-10/06,2024_10,5.9594
PI ACTION GROUP,REGION-3-HSE,Economy & Labor,2024_11/12-11/18,2024_11,
TAU COMMITTEE,REGION-4-GOV,Climate & Energy,2024_10/07-10/13,2024_10,8683.8938
SIGMA FORWARD FUND,REGION-4-GOV,Climate & Energy,2024_11/12-11/18,2024_11,1572.714
TAU COMMITTEE,NATIONAL-PRES,Climate & Energy,2024_09/10-09/16,2024_09,74.4253
TAU COMMITTEE,NATIONAL-PRES,Criminal Justice,2024_10/15-10/21,2024_10,21.6915
MU ACTION PAC,NATIONAL-PRES,Healthcare,2024_09/24-09/30,2024_09,25.2767
ETA PROGRESS PAC,NATIONAL-PRES,Healthcare,2024_09/24-09/30,2024_09,467.2823
KAPPA FORWARD GROUP,REGION-4-GOV,Climate & Energy,2024_11/05-11/11,2024_11,
NU COALITION,REGION-2-SEN,Abortion,2024_10/15-10/21,2024_10,
ZETA FORWARD FUND,REGION-2-SEN,Abortion,2024_10/29-11/04,2024_11,107.0606
BETA ACTION PAC,REGION-3-HSE,Criminal Justice,2024_10/07-10/13,2024_10,60882.4145
THETA ACTION COMMITTEE,REGION-1-GOV,Criminal Justice,2024_10/29-11/04,2024_11,
DELTA COALITION,REGION-2-SEN,Education,2024_11/05-11/11,2024_11,
THETA ACTION COMMITTEE,REGION-1-GOV,Economy & Labor,2024_09/03-09/09,2024_09,51.6247
BETA ACTION PAC,REGION-3-HSE,Healthcare,2024_10/15-10/21,2024_10,222.8865
PI ACTION GROUP,REGION-1-GOV,Education,2024_11/12-11/18,2024_11,450.5092
SIGMA FORWARD FUND,REGION-1-GOV,Immigration,2024_09/03-09/09,2024_09,34265.7993
ALPHA COMMITTEE,REGION-2-SEN,Immigration,2024_10/29-11/04,2024_11,240822.3066
BETA ACTION PAC,REGION-1-GOV,Healthcare,2024_09/24-09/30,2024_09,93.4442
BETA ACTION PAC,REGION-3-HSE,Criminal Justice,2024_09/03-09/09,2024_09,771.3056
ETA PROGRESS PAC,REGION-2-SEN,Criminal Justice,2024_10/07-10/13,2024_10,1891.076
OMICRON FUND,REGION-1-GOV,Gun Policy,2024_09/17-09/23,2024_09,25.702
ETA PROGRESS PAC,REGION-2-SEN,Criminal Justice,2024_11/12-11/18,2024_11,750.8278
NU COALITION,REGION-4-GOV,Healthcare,2024_11/05-11/11,2024_11,1032.114
GAMMA VOTERS FUND,REGION-2-SEN,Criminal Justice,2024_10/01-10/06,2024_10,41.5813
BETA ACTION PAC,REGION-3-HSE,Gun Policy,2024_11/05-11/11,2024_11,1636.1174
THETA ACTION COMMITTEE,REGION-3-HSE,Gun Policy,2024_10/07-10/13,2024_10,70.4257
ZETA FORWARD FUND,REGION-1-GOV,Climate & Energy,2024_10/07-10/13,2024_10,15418.2835
OMICRON FUND,REGION-2-SEN,Education,2024_09/10-09/16,2024_09,33094.8009
OMICRON FUND,REGION-1-GOV,Economy & Labor,2024_10/29-11/04,2024_11,19353.7517
DELTA COALITION,REGION-4-GOV,Climate & Energy,2024_10/07-10/13,2024_10,6563.9731
LAMBDA POLICY FUND,REGION-2-SEN,Abortion,2024_10/07-10/13,2024_10,4797.3527
IOTA CITIZENS PAC,REGION-4-GOV,Abortion,2024_10/29-11/04,2024_11,1465.2514
ZETA FORWARD FUND,NATIONAL-PRES,Economy & Labor,2024_10/22-10/28,2024_10,16.7623
BETA ACTION PAC,REGION-3-HSE,Gun Policy,2024_11/05-11/11,2024_11,991.8546
IOTA CITIZENS PAC,REGION-3-HSE,Criminal Justice,2024_09/10-09/16,2024_09,17413.6482
XI PROGRESS COMMITTEE,REGION-2-SEN,Criminal Justice,2024_09/10-09/16,2024_09,585.9739
EPSILON GROUP PAC,REGION-1-GOV,Criminal Justice,2024_09/17-09/23,2024_09,488.688
LAMBDA POLICY FUND,REGION-4-GOV,Climate & Energy,2024_11/05-11/11,2024_11,805.0368
MU ACTION PAC,REGION-2-SEN,Education,2024_09/24-09/30,2024_09,3495.3587
NU COALITION,NATIONAL-PRES,Gun Policy,2024_10/01-10/06,2024_10,164391.2038
THETA ACTION COMMITTEE,REGION-3-HSE,Criminal Justice,2024_09/10-09/16,2024_09,1571.5207
THETA ACTION COMMITTEE,NATIONAL-PRES,Economy & Labor,2024_10/01-10/06,2024_10,250000
NU COALITION,REGION-4-GOV,Economy & Labor,2024_10/15-10/21,2024_10,191.7319
RHO VOTERS PAC,REGION-2-SEN,Economy & Labor,2024_09/24-09/30,2024_09,19562.6801
ALPHA COMMITTEE,REGION-1-GOV,Abortion,2024_11/12-11/18,2024_11,95.3586
MU ACTION PAC,NATIONAL-PRES,Immigration,2024_10/07-10/13,2024_10,1801.1285
RHO VOTERS PAC,REGION-1-GOV,Climate & Energy,2024_11/05-11/11,2024_11,3911.6331
EPSILON GROUP PAC,REGION-2-SEN,Economy & Labor,2024_11/12-11/18,2024_11,13788.7797
BETA ACTION PAC,REGION-3-HSE,Economy & Labor,2024_11/05-11/11,2024_11,134.8483
EPSILON GROUP PAC,REGION-2-SEN,Healthcare,2024_11/05-11/11,2024_11,89.4663
NU COALITION,REGION-2-SEN,Healthcare,2024_10/15-10/21,2024_10,
TAU COMMITTEE,REGION-3-HSE,Education,2024_11/05-11/11,2024_11,16.2746
IOTA CITIZENS PAC,REGION-1-GOV,Immigration,2024_09/10-09/16,2024_09,1975.3752
XI PROGRESS COMMITTEE,NATIONAL-PRES,Abortion,2024_10/01-10/06,2024_10,
BETA ACTION PAC,REGION-4-GOV,Gun Policy,2024_11/05-11/11,2024_11,844.8257
DELTA COALITION,REGION-4-GOV,Abortion,2024_11/05-11/11,2024_11,7376.4238
UPSILON ACTION PAC,REGION-4-GOV,Healthcare,2024_11/05-11/11,2024_11,49781.8057
PI ACTION GROUP,REGION-4-GOV,Gun Policy,2024_10/01-10/06,2024_10,4302.5848
MU ACTION PAC,REGION-4-GOV,Criminal Justice,2024_10/15-10/21,2024_10,1807.9888
THETA ACTION COMMITTEE,NATIONAL-PRES,Criminal Justice,2024_09/03-09/09,2024_09,27519.4634
IOTA CITIZENS PAC,REGION-2-SEN,Immigration,2024_09/17-09/23,2024_09,102.3157
ALPHA COMMITTEE,REGION-2-SEN,Criminal Justice,2024_11/12-11/18,2024_11,46.0306
ALPHA COMMITTEE,REGION-3-HSE,Immigration,2024_10/01-10/06,2024_10,16.9347
ZETA FORWARD FUND,REGION-3-HSE,Climate & Energy,2024_10/15-10/21,2024_10,125388.5856
NU COALITION,REGION-2-SEN,Healthcare,2024_10/01-10/06,2024_10,749.0823
MU ACTION PAC,REGION-2-SEN,Gun Policy,2024_10/01-10/06,2024_10,39.9416
TAU COMMITTEE,REGION-3-HSE,Gun Policy,2024_09/24-09/30,2024_09,3.6101
DELTA COALITION,NATIONAL-PRES,Economy & Labor,2024_11/12-11/18,2024_11,15521.2925
ETA PROGRESS PAC,REGION-1-GOV,Immigration,2024_10/01-10/06,2024_10,4071.0071
LAMBDA POLICY FUND,NATIONAL-PRES,Criminal Justice,2024_09/24-09/30,2024_09,88.1103
EPSILON GROUP PAC,NATIONAL-PRES,Abortion,2024_09/10-09/16,2024_09,245.309
OMICRON FUND,REGION-3-HSE,Abortion,2024_11/12-11/18,2024_11,91.6156
UPSILON ACTION PAC,REGION-4-GOV,Economy & Labor,2024_10/22-10/28,2024_10,9832.6925
UPSILON ACTION PAC,NATIONAL-PRES,Climate & Energy,2024_10/22-10/28,2024_10,33.9714
GAMMA VOTERS FUND,REGION-2-SEN,Healthcare,2024_09/17-09/23,2024_09,57.2394
MU ACTION PAC,REGION-2-SEN,Education,2024_11/12-11/18,2024_11,176759.3636
ETA PROGRESS PAC,NATIONAL-PRES,Climate & Energy,2024_11/05-11/11,2024_11,310.2253
OMICRON FUND,NATIONAL-PRES,Gun Policy,2024_09/17-09/23,2024_09,4176.3229
NU COALITION,REGION-4-GOV,Gun Policy,2024_10/29-11/04,2024_11,465.0378
PI ACTION GROUP,REGION-1-GOV,Gun Policy,2024_10/22-10/28,2024_10,3480.2259
UPSILON ACTION PAC,NATIONAL-PRES,Economy & Labor,2024_09/10-09/16,2024_09,157.125
RHO VOTERS PAC,REGION-4-GOV,Climate & Energy,2024_10/22-10/28,2024_10,4794.3184
OMICRON FUND,REGION-4-GOV,Education,2024_10/01-10/06,2024_10,3060.9137
EPSILON GROUP PAC,REGION-3-HSE,Gun Policy,2024_10/22-10/28,2024_10,290.6918
LAMBDA POLICY FUND,REGION-4-GOV,Abortion,2024_10/22-10/28,2024_10,3205.1143
ALPHA COMMITTEE,REGION-1-GOV,Abortion,2024_09/03-09/09,2024_09,14785.9201
NU COALITION,REGION-3-HSE,Healthcare,2024_10/22-10/28,2024_10,104524.7542
MU ACTION PAC,REGION-4-GOV,Immigration,2024_09/24-09/30,2024_09,
MU ACTION PAC,REGION-1-GOV,Economy & Labor,2024_11/05-11/11,2024_11,358.1028
OMICRON FUND,NATIONAL-PRES,Abortion,2024_11/05-11/11,2024_11,8148.8014
OMICRON FUND,REGION-2-SEN,Immigration,2024_10/15-10/21,2024_10,57417.9175
MU ACTION PAC,NATIONAL-PRES,Immigration,2024_10/29-11/04,2024_11,32384.0721
TAU COMMITTEE,REGION-4-GOV,Economy & Labor,2024_10/07-10/13,2024_10,932.1147
BETA ACTION PAC,REGION-3-HSE,Gun Policy,2024_10/15-10/21,2024_10,105125.9063
EPSILON GROUP PAC,NATIONAL-PRES,Immigration,2024_09/10-09/16,2024_09,14444.1722
BETA ACTION PAC,REGION-1-GOV,Abortion,2024_10/29-11/04,2024_11,538.8604
OMICRON FUND,REGION-2-SEN,Criminal Justice,2024_10/22-10/28,2024_10,447.6314
BETA ACTION PAC,NATIONAL-PRES,Economy & Labor,2024_10/15-10/21,2024_10,1593.3617
PI ACTION GROUP,REGION-2-SEN,Gun Policy,2024_10/15-10/21,2024_10,19.0034
ZETA FORWARD FUND,REGION-2-SEN,Economy & Labor,2024_10/29-11/04,2024_11,172062.4581
OMICRON FUND,NATIONAL-PRES,Healthcare,2024_09/03-09/09,2024_09,41.5653
MU ACTION PAC,REGION-4-GOV,Gun Policy,2024_10/15-10/21,2024_10,2824.8003
NU COALITION,REGION-3-HSE,Gun Policy,2024_11/05-11/11,2024_11,17712.8331
GAMMA VOTERS FUND,NATIONAL-PRES,Education,2024_09/24-09/30,2024_09,
BETA ACTION PAC,NATIONAL-PRES,Economy & Labor,2024_10/22-10/28,2024_10,14.5098
TAU COMMITTEE,REGION-3-HSE,Gun Policy,2024_09/17-09/23,2024_09,199367.2893
ALPHA COMMITTEE,REGION-2-SEN,Climate & Energy,2024_10/29-11/04,2024_11,61.9878
EPSILON GROUP PAC,REGION-3-HSE,Healthcare,2024_10/29-11/04,2024_11,134.0266
PI ACTION GROUP,REGION-4-GOV,Economy & Labor,2024_10/07-10/13,2024_10,93453.0383
ALPHA COMMITTEE,REGION-4-GOV,Economy & Labor,2024_09/03-09/09,2024_09,168988.3333
UPSILON ACTION PAC,REGION-4-GOV,Gun Policy,2024_09/03-09/09,2024_09,44959.2387
TAU COMMITTEE,REGION-3-HSE,Gun Policy,2024_09/24-09/30,2024_09,1945.8534
RHO VOTERS PAC,REGION-2-SEN,Gun Policy,2024_10/07-10/13,2024_10,189.4306
OMICRON FUND,REGION-3-HSE,Gun Policy,2024_09/24-09/30,2024_09,129.1594
OMICRON FUND,NATIONAL-PRES,Education,2024_09/24-09/30,2024_09,43192.7822
PI ACTION GROUP,REGION-2-SEN,Healthcare,2024_09/10-09/16,2024_09,19.7869
UPSILON ACTION PAC,REGION-4-GOV,Gun Policy,2024_10/01-10/06,2024_10,6533.6206
THETA ACTION COMMITTEE,NATIONAL-PRES,Education,2024_09/10-09/16,2024_09,124.5426
PI ACTION GROUP,REGION-3-HSE,Gun Policy,2024_10/15-10/21,2024_10,61.2774
UPSILON ACTION PAC,REGION-1-GOV,Abortion,2024_10/29-11/04,2024_11,1446.2965
EPSILON GROUP PAC,REGION-1-GOV,Criminal Justice,2024_09/17-09/23,2024_09,2.5
UPSILON ACTION PAC,REGION-1-GOV,Healthcare,2024_09/24-09/30,2024_09,47.8408
NU COALITION,NATIONAL-PRES,Climate & Energy,2024_10/01-10/06,2024_10,4227.228
OMICRON FUND,REGION-4-GOV,Criminal Justice,2024_09/10-09/16,2024_09,3695.0272
XI PROGRESS COMMITTEE,REGION-4-GOV,Gun Policy,2024_10/07-10/13,2024_10,128.7262
KAPPA FORWARD GROUP,REGION-4-GOV,Abortion,2024_09/10-09/16,2024_09,15186.6886
GAMMA VOTERS FUND,REGION-1-GOV,Abortion,2024_10/01-10/06,2024_10,1859.1096
ZETA FORWARD FUND,REGION-4-GOV,Economy & Labor,2024_10/07-10/13,2024_10,204.471
SIGMA FORWARD FUND,REGION-2-SEN,Immigration,2024_09/24-09/30,2024_09,222865.917
LAMBDA POLICY FUND,REGION-3-HSE,Education,2024_11/12-11/18,2024_11,2.5
NU COALITION,REGION-4-GOV,Healthcare,2024_10/07-10/13,2024_10,189509.4759
RHO VOTERS PAC,REGION-4-GOV,Healthcare,2024_09/17-09/23,2024_09,6.1635
IOTA CITIZENS PAC,REGION-2-SEN,Climate & Energy,2024_10/15-10/21,2024_10,3837.4656
ALPHA COMMITTEE,REGION-4-GOV,Abortion,2024_11/12-11/18,2024_11,56.0988
OMICRON FUND,NATIONAL-PRES,Climate & Energy,2024_11/12-11/18,2024_11,12879.5111
PI ACTION GROUP,NATIONAL-PRES,Abortion,2024_11/12-11/18,2024_11,4224.2417
ETA PROGRESS PAC,NATIONAL-PRES,Climate & Energy,2024_10/22-10/28,2024_10,80.2731
EPSILON GROUP PAC,REGION-4-GOV,Criminal Justice,2024_10/15-10/21,2024_10,5.8454
EPSILON GROUP PAC,REGION-4-GOV,Gun Policy,2024_10/01-10/06,2024_10,84.6557
NU COALITION,REGION-2-SEN,Education,2024_09/24-09/30,2024_09,215.2496
NU COALITION,REGION-2-SEN,Abortion,2024_10/22-10/28,2024_10,198.9428
